T_mu,σ,ω₀,n_B,P,ϵ
"(0.0, 460.1118481127528)",92.99999999999402,0.0,0.0,7.943778454913594e-12,-7.943778454913594e-12
"(1.0084033613445378, 460.1118481127528)",93.00000000000774,4.830529368764397e-208,5.4863564052725324e-210,7.943778454913594e-12,-7.943778454913594e-12
"(2.0168067226890756, 460.1118481127528)",93.00000000000774,1.8156207829681402e-104,2.062122378658809e-106,7.943778454913594e-12,-7.943778454913594e-12
"(3.0252100840336134, 460.1118481127528)",93.00000000000774,7.911453076931042e-70,8.985568236865712e-72,7.943778454913594e-12,-7.943778454913594e-12
"(4.033613445378151, 460.1118481127528)",93.00000000000774,1.877786626656814e-52,2.132728299595706e-54,7.943778454913594e-12,-7.943778454913594e-12
"(5.04201680672269, 460.1118481127528)",93.00000000000774,5.396944511955752e-42,6.129672098308167e-44,7.943778454913594e-12,-7.943778454913594e-12
"(6.050420168067227, 460.1118481127528)",93.00000000000774,5.328849153592328e-35,6.052331629592624e-37,7.943778454913594e-12,-7.943778454913594e-12
"(7.0588235294117645, 460.1118481127528)",93.00000000000774,5.476777037918658e-30,6.220343256005882e-32,7.943778454913594e-12,-7.943778454913594e-12
"(8.067226890756302, 460.1118481127528)",93.00000000000774,3.2309685983696645e-26,3.669627883714814e-28,7.943778454913594e-12,-7.943778454913426e-12
"(9.07563025210084, 460.1118481127528)",93.00000000000774,2.8277857351477595e-23,3.211706046324698e-25,7.943778454913594e-12,-7.94377845476582e-12
"(10.08403361344538, 460.1118481127528)",93.00000000000774,6.494759600130019e-21,7.376534373836815e-23,7.943778454913594e-12,-7.943778420973285e-12
"(11.092436974789916, 460.1118481127528)",93.00000000000774,5.629557625043777e-19,6.393866422677009e-21,7.943778454913594e-12,-7.943775513019898e-12
"(12.100840336134453, 460.1118481127528)",92.99999999999402,0.0,2.665475342019008e-19,7.943778454913594e-12,-7.943655813235022e-12
"(13.109243697478991, 460.1118481127528)",92.99999999999402,0.0,6.32216669919982e-18,7.943778454913594e-12,-7.940869551109548e-12
"(14.117647058823529, 460.1118481127528)",93.00000000000911,8.470936921734532e-15,9.62101158917839e-17,7.943778454913594e-12,-7.899511040683483e-12
